Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Team
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,
Pascal Siakam,36:55,5,13,.385,2,5,.400,4,7,.571,1,3,4,2,1,1,1,2,16,10.6,-4,all_box-IND-game-basic
Andrew Nembhard,36:41,4,10,.400,2,3,.667,5,6,.833,1,4,5,6,0,0,2,3,15,12.1,-9,all_box-IND-game-basic
Aaron Nesmith,30:27,1,5,.200,1,3,.333,0,0,,1,5,6,1,2,2,1,6,3,2.8,+6,all_box-IND-game-basic
Myles Turner,23:49,2,4,.500,1,3,.333,1,4,.250,1,3,4,1,0,0,1,3,6,2.9,-12,all_box-IND-game-basic
Tyrese Haliburton,7:05,3,5,.600,3,4,.750,0,0,,0,0,0,0,0,0,1,0,9,5.7,-2,all_box-IND-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,all_box-IND-game-basic
Bennedict Mathurin,33:23,6,14,.429,2,5,.400,10,10,1.000,7,6,13,3,2,0,3,3,24,23.2,-14,all_box-IND-game-basic
T.J. McConnell,28:06,8,13,.615,0,0,,0,0,,0,6,6,3,1,1,7,2,16,7.9,-12,all_box-IND-game-basic
Obi Toppin,20:33,0,4,.000,0,3,.000,0,0,,0,2,2,1,0,0,3,2,0,-5.3,-13,all_box-IND-game-basic
Ben Sheppard,16:13,0,1,.000,0,1,.000,0,0,,1,3,4,0,0,0,1,1,0,-0.5,-4,all_box-IND-game-basic
Tony Bradley,5:12,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,1,2,2,0.5,-2,all_box-IND-game-basic
Thomas Bryant,1:04,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-0.7,+2,all_box-IND-game-basic
Johnny Furphy,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,+4,all_box-IND-game-basic
Isaiah Jackson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,all_box-IND-game-basic
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,all_box-IND-game-basic
Jarace Walker,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,all_box-IND-game-basic
